Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Afghanistan,AFG,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,31.802
Afghanistan,AFG,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,65.80603027
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,18799450742.7823
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,494.179349886029
Afghanistan,AFG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.21377992630005
Afghanistan,AFG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,13.24220181
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,25.754
Afghanistan,AFG,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,10.8145110122017
Afghanistan,AFG,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,..
Afghanistan,AFG,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..
Afghanistan,AFG,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",SH.STA.WASH.P5,..
Afghanistan,AFG,Gini index (World Bank estimate),SI.POV.GINI,..
Afghanistan,AFG,Consumer price index (2010 = 100),FP.CPI.TOTL,149.895975208032
Afghanistan,AFG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Afghanistan,AFG,Population density (people per sq. km of land area),EN.POP.DNST,58.2693946634807
Afghanistan,AFG,"Population, total",SP.POP.TOTL,38041757
Albania,ALB,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,11.62
Albania,ALB,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,..
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,15400242874.8812
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,5395.65953185375
Albania,ALB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.94576001167297
Albania,ALB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..
Albania,ALB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,61.229
Albania,ALB,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,..
Albania,ALB,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,..
Albania,ALB,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,47.57714147
Albania,ALB,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",SH.STA.WASH.P5,..
Albania,ALB,Gini index (World Bank estimate),SI.POV.GINI,..
Albania,ALB,Consumer price index (2010 = 100),FP.CPI.TOTL,119.049258384382
Albania,ALB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Albania,ALB,Population density (people per sq. km of land area),EN.POP.DNST,104.167554744526
Albania,ALB,"Population, total",SP.POP.TOTL,2854191
Algeria,DZA,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,23.583
Algeria,DZA,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,248.20587158
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,171767403748.19
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,3989.66827645236
Algeria,DZA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,6.10035991668701
Algeria,DZA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.24337101
Algeria,DZA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,73.189
